,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
0,1.666666667,3,2.4,1.333333333,1,0,3,3,3,2
1,1.666666667,3,2.4,1.333333333,1.333333333,0,3,3,1.5,2
2,1.666666667,3,2.4,1.333333333,1.5,0,3,3,1.714285714,1.6
3,2,3,2,1.5,1.5,1.714285714,3,3,1.714285714,1.6
4,2,3,2,1.5,1.6,1.8,3,3,1.714285714,1.6
5,2,3,2,1.5,1.5,1.5,3,3,1.555555556,1.5
6,2,3,2,1.5,1.6,1.5,3,3,1.75,1.333333333
7,2.444444444,2.571428571,1.714285714,1.6,1.5,1.6,3,3,1.692307692,1.307692308
8,2.444444444,2.666666667,2,1.6,1.538461538,1.470588235,3,3,1.533333333,1.307692308
9,2.4,2.4,1.8,1.666666667,1.470588235,1.470588235,3,3,1.533333333,1.4
10,2.3125,2.357142857,1.636363636,1.714285714,1.470588235,1.470588235,3,3,1.352941176,1.4
11,2.3125,2.357142857,1.636363636,1.714285714,1.470588235,1.470588235,3,3,1.352941176,1.352941176
12,2.3125,2.357142857,1.636363636,1.714285714,1.470588235,1.470588235,3,3,1.315789474,1.368421053
13,2.352941176,2.470588235,1.5,1.75,1.470588235,1.470588235,3,3,1.238095238,1.368421053
14,2.333333333,2.333333333,1.285714286,1.8,1.421052632,1.388888889,3,3,1.238095238,1.363636364
15,2.333333333,2.142857143,1.2,1.818181818,1.409090909,1.476190476,3,3,1.153846154,1.333333333
16,2.333333333,2.142857143,1.411764706,1.692307692,1.434782609,1.476190476,3,3,1.153846154,1.333333333
17,2.333333333,2.142857143,1.333333333,1.625,1.434782609,1.476190476,3,3,1.103448276,1.321428571
18,2.333333333,2.217391304,1.333333333,1.625,1.37037037,1.409090909,3,3,1.1,1.321428571
19,2.333333333,2.217391304,1.263157895,1.647058824,1.392857143,1.541666667,3,3,1.1,1.344827586
20,2.333333333,2.217391304,1.2,1.6,1.392857143,1.541666667,3,3,1.064516129,1.344827586
21,2.333333333,2.217391304,1.2,1.6,1.392857143,1.48,3,3,1.060606061,1.333333333
22,2.333333333,2.217391304,1.304347826,1.619047619,1.413793103,1.592592593,3,3,1.055555556,1.35483871
23,2.217391304,2.217391304,1.44,1.565217391,1.413793103,1.774193548,3,3,1.027027027,1.375
24,2.217391304,2.217391304,1.5,1.538461538,1.413793103,1.666666667,3,3,1,1.352941176
25,2.217391304,2.217391304,1.5,1.538461538,1.451612903,1.617647059,3,3,1,1.352941176
26,2.217391304,2.217391304,1.5,1.538461538,1.46875,1.617647059,3,3,1.095238095,1.352941176
27,2.217391304,2.217391304,1.448275862,1.555555556,1.441176471,1.617647059,3,3,1.095238095,1.371428571
28,2.217391304,2.217391304,1.448275862,1.555555556,1.441176471,1.617647059,3,3,1.066666667,1.371428571
29,2.148148148,2.222222222,1.4,1.571428571,1.441176471,1.617647059,3,3,1.14893617,1.371428571
30,2.148148148,2.222222222,1.3125,1.6,1.441176471,1.571428571,3,3,1.14893617,1.371428571
31,2.142857143,2.142857143,1.333333333,1.625,1.432432432,1.571428571,3,3,1.14893617,1.371428571
32,2.142857143,2.142857143,1.421052632,1.625,1.432432432,1.648648649,3,3,1.142857143,1.371428571
33,2.137931034,2.068965517,1.384615385,1.636363636,1.41025641,1.648648649,3,3,1.137254902,1.371428571
34,2.133333333,2,1.35,1.647058824,1.390243902,1.648648649,3,3,1.137254902,1.351351351
35,2.133333333,2.0625,1.35,1.647058824,1.372093023,1.780487805,3,3,1.137254902,1.368421053
36,2.0625,2.0625,1.317073171,1.657142857,1.355555556,1.738095238,3,3,1.115384615,1.368421053
37,2.090909091,2.090909091,1.317073171,1.657142857,1.354166667,1.738095238,3,3,1.111111111,1.368421053
38,2.142857143,2.090909091,1.317073171,1.657142857,1.326923077,1.795454545,3,3,1.107142857,1.368421053
39,2.184210526,2.083333333,1.317073171,1.657142857,1.326923077,1.795454545,3,3,1.103448276,1.358974359
40,2.225,2.131578947,1.317073171,1.657142857,1.326923077,1.717391304,3,3,1.101694915,1.375
41,2.243902439,2.153846154,1.255813953,1.675675676,1.351851852,1.717391304,3,3,1.080645161,1.390243902
42,2.243902439,2.153846154,1.333333333,1.675675676,1.351851852,1.82,3,3,1.061538462,1.404761905
43,2.295454545,2.175,1.304347826,1.684210526,1.351851852,1.865384615,3,3,1.045454545,1.395348837
44,2.255319149,2.23255814,1.304347826,1.65,1.351851852,1.907407407,3,3,1.043478261,1.395348837
45,2.25,2.217391304,1.304347826,1.65,1.327586207,1.872727273,3,3,1.042253521,1.395348837
46,2.2,2.217391304,1.304347826,1.65,1.338983051,1.872727273,3,3,1.042253521,1.395348837
47,2.2,2.217391304,1.276595745,1.658536585,1.338983051,1.872727273,3,3,1.042253521,1.395348837
48,2.111111111,2.217391304,1.25,1.666666667,1.338983051,1.912280702,3,3,1.042253521,1.409090909
49,2.111111111,2.217391304,1.224489796,1.674418605,1.338983051,1.912280702,3,3,1.027027027,1.409090909
50,2.140350877,2.170212766,1.224489796,1.644444444,1.338983051,1.912280702,3,3,1.027027027,1.4
51,2.140350877,2.170212766,1.176470588,1.659574468,1.338983051,1.912280702,3,3,1.026666667,1.4
52,2.116666667,2.1875,1.222222222,1.666666667,1.327868852,1.912280702,3,3,1.026666667,1.4
53,2.107692308,2.176470588,1.222222222,1.666666667,1.327868852,1.803278689,3,3,1.025316456,1.4
54,2.107692308,2.176470588,1.344827586,1.64,1.353846154,1.746031746,3,3,1.025316456,1.4
55,2.107692308,2.176470588,1.322033898,1.647058824,1.373134328,1.757575758,3,3,1.024691358,1.391304348
56,2.107692308,2.176470588,1.37704918,1.647058824,1.371428571,1.794117647,3,3,1.023809524,1.404255319
57,2.086956522,2.150943396,1.35483871,1.62962963,1.371428571,1.794117647,3,3,1.011494253,1.395833333
58,2.1,2.166666667,1.333333333,1.636363636,1.371428571,1.794117647,3,3,1.011111111,1.408163265
59,2.1,2.166666667,1.333333333,1.636363636,1.371428571,1.794117647,3,3,1,1.408163265
60,2.069444444,2.166666667,1.333333333,1.636363636,1.371428571,1.782608696,3,3,1,1.388888889
61,2.069444444,2.196428571,1.333333333,1.636363636,1.356164384,1.732394366,3,3,0.989361702,1.362068966
62,2.068493151,2.157894737,1.333333333,1.614035088,1.373333333,1.708333333,3,3,0.989583333,1.362068966
63,2.067567568,2.120689655,1.333333333,1.614035088,1.381578947,1.708333333,3,3,0.989583333,1.362068966
64,2.08,2.163934426,1.333333333,1.593220339,1.371794872,1.684931507,3,3,0.989795918,1.362068966
