,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
0,2,2,2,1,3,0,2,2,1,1
1,2,2,2,1,1.666666667,0,2,2,0.5,1
2,2.25,1,2,1,1.666666667,0,2,2,0.666666667,1
3,2.25,1,2,1,2.2,0,2,2,0.666666667,1.5
4,1.833333333,1.5,1.714285714,1.222222222,2.333333333,0,2,2,0.5,1.4
5,2,1.2,1.777777778,1.222222222,2,0,2,2,0.5,1.4
6,2,1.2,1.6,1.4,2.111111111,0,2,2,0.5,1.666666667
7,1.888888889,1.2,1.538461538,1.545454545,2.111111111,0.571428571,2,2,0.777777778,1.4
8,2,1.25,1.538461538,1.545454545,2.111111111,0.888888889,2,2,0.777777778,1.5
9,2,1.454545455,1.6,1.545454545,2.111111111,1.090909091,2,2,0.777777778,1.615384615
10,2.083333333,1.333333333,1.6,1.461538462,1.909090909,1.090909091,2,2,0.777777778,1.533333333
11,2.083333333,1.428571429,1.5,1.571428571,1.909090909,1.230769231,2,2,0.7,1.533333333
12,2.142857143,1.375,1.411764706,1.588235294,1.769230769,1.230769231,2,2,0.75,1.533333333
13,2.133333333,1.411764706,1.411764706,1.588235294,1.769230769,1.230769231,2,2,0.769230769,1.625
14,2.133333333,1.411764706,1.411764706,1.588235294,1.769230769,1.333333333,2,2,0.714285714,1.555555556
15,2,1.411764706,1.333333333,1.666666667,1.769230769,1.333333333,2,2,0.733333333,1.526315789
16,2.052631579,1.368421053,1.263157895,1.736842105,1.857142857,1.333333333,2,2,0.705882353,1.6
17,2.047619048,1.368421053,1.2,1.8,1.933333333,1.263157895,2,2,0.684210526,1.571428571
18,2.045454545,1.4,1.2,1.8,1.823529412,1.263157895,2,2,0.7,1.608695652
19,2,1.454545455,1.2,1.727272727,1.761904762,1.19047619,2,2,0.818181818,1.64
20,2,1.47826087,1.2,1.727272727,1.869565217,1.086956522,2,2,0.818181818,1.571428571
21,2.074074074,1.36,1.2,1.727272727,1.833333333,1.214285714,2,2,0.833333333,1.571428571
22,2.066666667,1.307692308,1.142857143,1.782608696,1.833333333,1.214285714,2,2,0.884615385,1.571428571
23,2.0625,1.357142857,1.043478261,1.88,1.833333333,1.266666667,2,2,0.884615385,1.571428571
24,2.090909091,1.310344828,1,1.923076923,1.88,1.225806452,2,2,0.851851852,1.571428571
25,2.117647059,1.266666667,1,1.923076923,1.88,1.225806452,2,2,0.851851852,1.571428571
26,2.111111111,1.3125,1,1.857142857,1.88,1.225806452,2,2,0.857142857,1.580645161
27,2.078947368,1.352941176,1,1.8,1.88,1.272727273,2,2,0.933333333,1.580645161
28,2.078947368,1.388888889,1.076923077,1.8,1.88,1.272727273,2,2,0.933333333,1.5
29,2.078947368,1.421052632,1.037037037,1.787878788,1.88,1.272727273,2,2,0.933333333,1.5
30,2.05,1.421052632,1.037037037,1.742857143,1.814814815,1.272727273,2,2,0.903225806,1.473684211
31,2.05,1.421052632,1,1.777777778,1.896551724,1.2,2,2,0.875,1.45
32,2.069767442,1.414634146,1,1.736842105,1.896551724,1.2,2,2,0.914285714,1.487804878
33,2.044444444,1.414634146,1,1.7,1.896551724,1.2,2,2,0.947368421,1.523809524
34,2.063829787,1.395348837,1.066666667,1.7,1.933333333,1.166666667,2,2,0.975,1.511627907
