,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
0,2,1,0,2,2,0,1,1,3,3
1,2,0.666666667,0,2,2,0,1,1,2.25,2.5
2,2,0.8,0,2,2,0,1,1,1.75,2.5
3,1.333333333,0.8,0,2,2,0,1,1,1.692307692,2.4
4,1.5,0.8,0,2,2.4,0.4,1,1,1.692307692,2.571428571
5,2,0.666666667,0,2,2.285714286,0.285714286,1,1,1.692307692,2.571428571
6,2,0.666666667,0,2,2.444444444,0.285714286,1,1,1.692307692,2.571428571
7,2,0.666666667,0,2,2.545454545,0.285714286,1,1,1.692307692,2.571428571
8,1.7,0.8,0,2.25,2.5,0.25,1,1,1.785714286,2.625
9,1.7,0.785714286,0,2.333333333,2.5,0.25,1,1,1.6875,2.7
10,1.7,0.785714286,0,2.333333333,2.428571429,0.2,1,1,1.666666667,2.666666667
11,1.636363636,0.785714286,0,2.333333333,2.4375,0.416666667,1,1,1.666666667,2.666666667
12,1.666666667,0.823529412,0,2.333333333,2.5,0.416666667,1,1,1.666666667,2.714285714
13,1.642857143,0.777777778,0,2.285714286,2.473684211,0.384615385,1,1,1.65,2.6875
14,1.8125,0.75,0,2.375,2.473684211,0.384615385,1,1,1.590909091,2.722222222
15,1.8125,0.75,0,2.421052632,2.45,0.357142857,1,1,1.541666667,2.75
16,1.944444444,0.75,0,2.421052632,2.45,0.4375,1,1,1.535714286,2.708333333
17,1.894736842,0.75,0,2.380952381,2.428571429,0.411764706,1,1,1.5,2.708333333
18,1.894736842,0.782608696,0,2.363636364,2.409090909,0.388888889,1,1,1.5,2.708333333
19,1.954545455,0.782608696,0,2.347826087,2.391304348,0.368421053,1,1,1.548387097,2.72
20,1.913043478,0.791666667,0,2.347826087,2.481481481,0.368421053,1,1,1.548387097,2.72
21,1.916666667,0.8,0.117647059,2.4,2.464285714,0.409090909,1,1,1.5,2.692307692
22,1.916666667,0.769230769,0.117647059,2.4,2.464285714,0.409090909,1,1,1.470588235,2.714285714
23,1.88,0.769230769,0.117647059,2.444444444,2.464285714,0.409090909,1,1,1.470588235,2.714285714
24,1.88,0.777777778,0.2,2.428571429,2.464285714,0.409090909,1,1,1.470588235,2.733333333
25,1.814814815,0.793103448,0.2,2.428571429,2.448275862,0.44,1,1,1.428571429,2.709677419
26,1.814814815,0.793103448,0.2,2.466666667,2.483870968,0.44,1,1,1.428571429,2.709677419
27,1.814814815,0.793103448,0.272727273,2.5,2.483870968,0.44,1,1,1.428571429,2.709677419
28,1.75862069,0.793103448,0.307692308,2.470588235,2.483870968,0.44,1,1,1.428571429,2.709677419
29,1.766666667,0.806451613,0.307692308,2.5,2.46875,0.5,1,1,1.368421053,2.705882353
30,1.774193548,0.78125,0.307692308,2.5,2.485714286,0.483870968,1,1,1.35,2.705882353
31,1.685714286,0.771428571,0.357142857,2.5,2.472222222,0.5,1,1,1.333333333,2.722222222
32,1.625,0.783783784,0.333333333,2.473684211,2.472222222,0.527777778,1,1,1.318181818,2.736842105
33,1.609756098,0.763157895,0.333333333,2.473684211,2.472222222,0.527777778,1,1,1.304347826,2.736842105
34,1.619047619,0.780487805,0.375,2.473684211,2.5,0.552631579,1,1,1.304347826,2.75
35,1.619047619,0.761904762,0.473684211,2.473684211,2.525,0.552631579,1,1,1.3125,2.75
36,1.627906977,0.761904762,0.5,2.473684211,2.5,0.525,1,1,1.365384615,2.770833333
37,1.613636364,0.744186047,0.511627907,2.461538462,2.477272727,0.5,1,1,1.365384615,2.770833333
38,1.586956522,0.75,0.511627907,2.461538462,2.456521739,0.477272727,1,1,1.365384615,2.78
39,1.586956522,0.760869565,0.511627907,2.461538462,2.469387755,0.489361702,1,1,1.37037037,2.769230769
40,1.586956522,0.770833333,0.511627907,2.461538462,2.469387755,0.489361702,1,1,1.37037037,2.777777778
41,1.586956522,0.78,0.5,2.45,2.469387755,0.489361702,1,1,1.345454545,2.763636364
42,1.586956522,0.78,0.5,2.45,2.469387755,0.489361702,1,1,1.345454545,2.763636364
43,1.632653061,0.78,0.52173913,2.45,2.469387755,0.489361702,1,1,1.321428571,2.75
44,1.62,0.784313725,0.510638298,2.43902439,2.469387755,0.489361702,1,1,1.321428571,2.75
45,1.62745098,0.796296296,0.52,2.428571429,2.469387755,0.489361702,1,1,1.321428571,2.75862069
46,1.62745098,0.781818182,0.5,2.391304348,2.469387755,0.489361702,1,1,1.310344828,2.75862069
47,1.615384615,0.789473684,0.49122807,2.382978723,2.469387755,0.489361702,1,1,1.338983051,2.762711864
48,1.615384615,0.793103448,0.5,2.375,2.48,0.541666667,1,1,1.366666667,2.774193548
49,1.592592593,0.793103448,0.5,2.375,2.48,0.541666667,1,1,1.344262295,2.761904762
50,1.592592593,0.793103448,0.5,2.4,2.48,0.56,1,1,1.349206349,2.753846154
51,1.592592593,0.793103448,0.491803279,2.392156863,2.481481481,0.538461538,1,1,1.375,2.757575758
52,1.592592593,0.793103448,0.476190476,2.377358491,2.5,0.555555556,1,1,1.4,2.768115942
53,1.592592593,0.793103448,0.46875,2.37037037,2.5,0.555555556,1,1,1.388059701,2.768115942
54,1.592592593,0.8,0.484848485,2.37037037,2.5,0.555555556,1,1,1.434782609,2.768115942
55,1.6,0.806451613,0.484848485,2.37037037,2.508474576,0.545454545,1,1,1.422535211,2.768115942
56,1.6,0.793650794,0.47761194,2.363636364,2.5,0.535714286,1,1,1.422535211,2.768115942
57,1.6,0.793650794,0.47761194,2.385964912,2.491803279,0.526315789,1,1,1.410958904,2.774647887
58,1.6,0.793650794,0.463768116,2.393442623,2.46875,0.5,1,1,1.432432432,2.777777778
59,1.6,0.793650794,0.450704225,2.380952381,2.461538462,0.491803279,1,1,1.432432432,2.777777778
60,1.589285714,0.793650794,0.444444444,2.375,2.462686567,0.538461538,1,1,1.432432432,2.783783784
61,1.589285714,0.796875,0.438356164,2.369230769,2.471428571,0.53030303,1,1,1.432432432,2.789473684
62,1.589285714,0.808823529,0.426666667,2.358208955,2.471428571,0.544117647,1,1,1.413333333,2.779220779
63,1.578947368,0.808823529,0.426666667,2.358208955,2.464788732,0.536231884,1,1,1.413333333,2.779220779
64,1.568965517,0.816901408,0.415584416,2.347826087,2.472222222,0.571428571,1,1,1.454545455,2.779220779
65,1.532258065,0.819444444,0.41025641,2.378378378,2.459459459,0.555555556,1,1,1.474358974,2.782051282
66,1.523809524,0.824324324,0.405063291,2.373333333,2.459459459,0.555555556,1,1,1.455696203,2.772151899
67,1.523809524,0.826666667,0.405063291,2.373333333,2.459459459,0.555555556,1,1,1.455696203,2.772151899
68,1.52238806,0.835443038,0.395061728,2.379746835,2.453333333,0.547945205,1,1,1.455696203,2.772151899
69,1.529411765,0.814814815,0.409638554,2.379746835,2.441558442,0.533333333,1,1,1.444444444,2.772151899
70,1.536231884,0.804878049,0.4,2.37037037,2.455696203,0.545454545,1,1,1.444444444,2.772151899
71,1.536231884,0.8,0.4,2.37037037,2.4625,0.576923077,1,1,1.426829268,2.7625
72,1.536231884,0.8,0.413793103,2.37037037,2.456790123,0.569620253,1,1,1.445783133,2.765432099
73,1.536231884,0.804597701,0.426966292,2.37037037,2.451219512,0.5625,1,1,1.445783133,2.765432099
74,1.536231884,0.804597701,0.426966292,2.385542169,2.451219512,0.5625,1,1,1.445783133,2.771084337
75,1.535211268,0.808988764,0.43956044,2.385542169,2.445783133,0.555555556,1,1,1.445783133,2.771084337
76,1.535211268,0.802197802,0.434782609,2.395348837,2.458823529,0.56626506,1,1,1.453488372,2.779069767
77,1.541666667,0.802197802,0.434782609,2.395348837,2.465116279,0.595238095,1,1,1.453488372,2.784090909
78,1.547945205,0.793478261,0.430107527,2.390804598,2.465116279,0.595238095,1,1,1.471264368,2.791208791
79,1.546666667,0.784946237,0.442105263,2.390804598,2.465116279,0.595238095,1,1,1.494505495,2.795698925
80,1.552631579,0.778947368,0.464646465,2.390804598,2.465116279,0.604651163,1,1,1.468085106,2.787234043
81,1.544303797,0.770833333,0.464646465,2.390804598,2.454545455,0.6,1,1,1.458333333,2.787234043
82,1.544303797,0.762886598,0.464646465,2.404494382,2.454545455,0.6,1,1,1.458333333,2.787234043
83,1.55,0.767676768,0.475247525,2.404494382,2.466666667,0.6,1,1,1.458333333,2.791666667
84,1.542168675,0.764705882,0.485436893,2.404494382,2.461538462,0.593406593,1,1,1.459183673,2.785714286
85,1.529411765,0.757281553,0.490566038,2.413043478,2.461538462,0.593406593,1,1,1.459183673,2.785714286
86,1.529411765,0.757281553,0.5,2.413043478,2.467391304,0.619565217,1,1,1.45,2.79
87,1.529411765,0.757281553,0.5,2.4375,2.467391304,0.619565217,1,1,1.465346535,2.796116505
88,1.529411765,0.761904762,0.495412844,2.432989691,2.46875,0.606382979,1,1,1.45631068,2.8
89,1.517241379,0.761904762,0.504504505,2.432989691,2.474226804,0.639175258,1,1,1.45631068,2.8
90,1.517241379,0.761904762,0.504504505,2.432989691,2.48,0.64,1,1,1.45631068,2.8
91,1.505494505,0.761904762,0.5,2.450980392,2.48,0.64,1,1,1.439252336,2.8
92,1.510869565,0.757009346,0.5,2.450980392,2.48,0.64,1,1,1.453703704,2.801886792
